Superficie,Referencia,Fecha Alta,Tipo,Operación,Provincia,Precio Venta,Fecha Venta,Vendedor
283,18,2004-01-06,Suelo,Venta,Barcelona,1679605,2004-06-06,Carmen
228,21,2004-01-09,Industrial,Venta,Barcelona,2020992,2004-06-12,Carmen
298,79,2004-01-31,Parking,Venta,Barcelona,2520484,2004-11-27,Carmen
217,80,2004-01-31,Parking,Alquiler,Barcelona,1339107,2004-10-05,Carmen
94,84,2004-02-02,Piso,Venta,Barcelona,470940,2004-07-28,Carmen
52,175,2004-03-10,Local,Venta,Barcelona,416936,2004-08-25,Carmen
281,196,2004-03-20,Piso,Alquiler,Barcelona,1336717,2004-11-10,Carmen
269,211,2004-03-25,Parking,Alquiler,Barcelona,2134246,2004-08-11,Carmen
63,212,2004-03-25,Casa,Alquiler,Barcelona,492156,2004-10-25,Carmen
228,308,2004-04-28,Suelo,Alquiler,Barcelona,1521216,2005-03-16,Carmen
261,316,2004-05-02,Industrial,Alquiler,Barcelona,2571111,2005-02-07,Carmen
155,324,2004-05-04,Suelo,Alquiler,Barcelona,876060,2004-12-31,Carmen
41,338,2004-05-08,Oficina,Alquiler,Barcelona,361661,2005-01-28,Carmen
173,347,2004-05-11,Industrial,Venta,Barcelona,851852,2004-09-18,Carmen
207,406,2004-06-03,Oficina,Venta,Barcelona,1883700,2005-02-23,Carmen
46,415,2004-06-06,Parking,Venta,Barcelona,386584,2004-12-17,Carmen
81,427,2004-06-10,Piso,Venta,Barcelona,583362,2005-05-04,Carmen
102,441,2004-06-16,Parking,Venta,Barcelona,790602,2004-11-09,Carmen
244,455,2004-06-20,Parking,Alquiler,Barcelona,2439512,2005-01-02,Carmen
47,515,2004-07-08,Oficina,Alquiler,Barcelona,262777,2004-12-22,Carmen
119,516,2004-07-08,Oficina,Alquiler,Barcelona,720902,2005-06-23,Carmen
112,531,2004-07-12,Industrial,Alquiler,Barcelona,712768,2005-06-14,Carmen
286,548,2004-07-20,Parking,Venta,Barcelona,2330042,2004-10-21,Carmen
125,552,2004-07-21,Local,Venta,Barcelona,804625,2005-06-26,Carmen
58,620,2004-08-14,Suelo,Alquiler,Barcelona,406290,2005-07-04,Carmen
272,631,2004-08-17,Parking,Alquiler,Barcelona,1972816,2005-08-14,Carmen
163,697,2004-09-04,Local,Alquiler,Barcelona,1570016,2005-08-04,Carmen
278,704,2004-09-08,Piso,Alquiler,Barcelona,2540364,2005-04-12,Carmen
