Superficie,Referencia,Fecha Alta,Tipo,Operación,Provincia,Precio Venta,Fecha Venta,Vendedor
291,1,2004-01-01,Parking,Alquiler,Lleida,2133903,2004-06-19,Carmen
199,2,2004-01-01,Local,Venta,Girona,1945424,2004-04-19,Pedro
285,4,2004-01-02,Parking,Alquiler,Girona,1815450,2004-04-27,Jesús
152,5,2004-01-02,Suelo,Venta,Tarragona,1138024,2004-07-10,María
235,8,2004-01-03,Oficina,Venta,Girona,2158475,2004-10-31,Jesús
108,9,2004-01-04,Piso,Alquiler,Lleida,1024380,2004-12-28,Jesús
299,10,2004-01-04,Parking,Venta,Lleida,2042768,2004-10-06,Joaquín
300,13,2004-01-04,Parking,Venta,Barcelona,2937300,2004-11-04,Jesús
283,18,2004-01-06,Suelo,Venta,Barcelona,1679605,2004-06-06,Carmen
148,20,2004-01-08,Oficina,Alquiler,Barcelona,1169496,2004-08-19,María
228,21,2004-01-09,Industrial,Venta,Barcelona,2020992,2004-06-12,Carmen
183,23,2004-01-10,Casa,Alquiler,Girona,1438929,2004-04-21,Luisa
124,25,2004-01-10,Oficina,Alquiler,Barcelona,1170684,2004-05-23,Jesús
187,28,2004-01-12,Casa,Alquiler,Barcelona,1660560,2004-06-16,Joaquín
142,31,2004-01-13,Industrial,Alquiler,Barcelona,1405374,2004-09-24,Jesús
181,33,2004-01-15,Local,Alquiler,Barcelona,1504110,2004-07-03,María
281,34,2004-01-15,Casa,Venta,Barcelona,2483197,2004-11-01,María
257,35,2004-01-15,Industrial,Alquiler,Tarragona,1799771,2004-12-31,Luisa
140,36,2004-01-16,Industrial,Alquiler,Tarragona,1054340,2004-12-02,Luisa
229,37,2004-01-16,Local,Venta,Girona,1160572,2004-07-09,Pedro
300,38,2004-01-17,Suelo,Alquiler,Tarragona,1492800,2004-12-08,Joaquín
215,39,2004-01-18,Parking,Alquiler,Tarragona,1154980,2005-01-14,Joaquín
182,40,2004-01-18,Oficina,Venta,Girona,1057784,2004-07-22,Jesús
230,41,2004-01-18,Piso,Venta,Barcelona,1421860,2004-09-23,Jesús
168,42,2004-01-19,Oficina,Venta,Tarragona,1426992,2004-11-20,Jesús
278,44,2004-01-19,Casa,Venta,Girona,1537062,2004-12-16,María
287,45,2004-01-20,Oficina,Alquiler,Barcelona,2851058,2005-01-02,Joaquín
224,46,2004-01-20,Oficina,Alquiler,Lleida,1294048,2004-10-29,Carmen
284,48,2004-01-20,Industrial,Venta,Barcelona,1457488,2004-07-06,Jesús
206,52,2004-01-22,Local,Alquiler,Lleida,1605564,2004-09-26,María
158,53,2004-01-22,Suelo,Alquiler,Tarragona,1438748,2004-10-17,Carmen
274,58,2004-01-24,Local,Alquiler,Girona,2287626,2004-12-21,María
166,59,2004-01-24,Industrial,Venta,Tarragona,1373816,2004-11-19,Joaquín
270,60,2004-01-24,Oficina,Alquiler,Lleida,1920240,2004-06-28,Jesús
120,61,2004-01-24,Casa,Venta,Tarragona,1140840,2004-09-12,Carmen
178,62,2004-01-24,Industrial,Venta,Tarragona,1142938,2005-01-23,Joaquín
144,65,2004-01-26,Oficina,Venta,Tarragona,1436832,2004-05-26,Luisa
272,66,2004-01-27,Suelo,Venta,Lleida,2119424,2004-12-24,Pedro
248,69,2004-01-27,Local,Venta,Girona,2212408,2004-10-09,María
179,70,2004-01-28,Casa,Alquiler,Tarragona,1647695,2004-07-12,María
235,71,2004-01-28,Casa,Venta,Girona,1939925,2004-11-01,Carmen
216,72,2004-01-28,Suelo,Venta,Tarragona,1478952,2004-10-15,Carmen
229,74,2004-01-29,Industrial,Venta,Girona,1098055,2004-10-22,Joaquín
234,76,2004-01-29,Suelo,Alquiler,Tarragona,1757106,2004-12-28,Pedro
112,77,2004-01-30,Industrial,Alquiler,Tarragona,1104992,2004-06-25,Pedro
298,79,2004-01-31,Parking,Venta,Barcelona,2520484,2004-11-27,Carmen
217,80,2004-01-31,Parking,Alquiler,Barcelona,1339107,2004-10-05,Carmen
236,81,2004-02-01,Industrial,Alquiler,Barcelona,1812244,2004-11-17,Pedro
117,82,2004-02-02,Parking,Venta,Girona,1069731,2004-09-14,Pedro
275,86,2004-02-03,Piso,Venta,Girona,2141700,2005-01-08,Jesús
292,90,2004-02-04,Suelo,Venta,Girona,2685816,2004-07-24,Pedro
227,98,2004-02-07,Casa,Venta,Lleida,1467782,2005-02-01,Carmen
251,99,2004-02-07,Industrial,Alquiler,Girona,2067236,2004-12-22,María
258,103,2004-02-08,Casa,Alquiler,Girona,1188090,2004-07-19,María
238,105,2004-02-10,Piso,Alquiler,Girona,1854496,2005-02-02,Luisa
300,106,2004-02-10,Piso,Alquiler,Lleida,2105700,2005-01-26,Pedro
222,107,2004-02-10,Suelo,Alquiler,Girona,1791318,2004-12-13,Jesús
187,108,2004-02-12,Suelo,Alquiler,Tarragona,1782297,2004-12-20,Joaquín
300,109,2004-02-12,Suelo,Alquiler,Barcelona,1528200,2004-08-09,Pedro
206,110,2004-02-12,Parking,Venta,Barcelona,1587642,2004-12-20,Luisa
160,112,2004-02-13,Local,Alquiler,Lleida,1064800,2004-09-22,Pedro
274,117,2004-02-15,Oficina,Venta,Girona,1724008,2004-09-26,Joaquín
253,118,2004-02-15,Oficina,Venta,Girona,2047276,2004-09-10,Luisa
270,122,2004-02-17,Casa,Alquiler,Barcelona,1385910,2005-02-05,Pedro
179,123,2004-02-17,Local,Alquiler,Girona,1461356,2004-07-30,Pedro
118,125,2004-02-19,Industrial,Venta,Girona,1067192,2004-08-25,Carmen
194,126,2004-02-19,Industrial,Venta,Tarragona,1373132,2004-08-31,María
139,127,2004-02-20,Industrial,Venta,Barcelona,1087119,2004-05-29,Jesús
130,128,2004-02-20,Casa,Venta,Tarragona,1230190,2005-01-04,Luisa
206,129,2004-02-21,Parking,Alquiler,Lleida,1363926,2005-01-08,Carmen
216,130,2004-02-21,Oficina,Venta,Tarragona,1389096,2004-11-23,Luisa
190,132,2004-02-21,Oficina,Venta,Tarragona,1268630,2004-12-04,Jesús
275,134,2004-02-22,Oficina,Alquiler,Tarragona,1765225,2005-02-20,Joaquín
222,140,2004-02-26,Piso,Venta,Barcelona,1076034,2004-06-02,María
123,142,2004-02-27,Oficina,Venta,Tarragona,1128156,2004-09-23,Pedro
134,143,2004-02-27,Oficina,Alquiler,Tarragona,1310520,2004-12-28,María
274,146,2004-02-28,Parking,Venta,Girona,2028970,2004-08-20,Luisa
249,149,2004-02-29,Piso,Venta,Lleida,1492506,2005-02-12,Luisa
212,150,2004-03-01,Casa,Alquiler,Lleida,1800516,2004-12-19,Jesús
128,151,2004-03-01,Oficina,Alquiler,Lleida,1259904,2004-10-02,Luisa
172,152,2004-03-02,Oficina,Venta,Tarragona,1063648,2005-02-13,María
185,155,2004-03-03,Suelo,Alquiler,Girona,1403595,2004-10-02,Pedro
284,156,2004-03-03,Casa,Venta,Girona,1561432,2004-07-01,Pedro
202,157,2004-03-03,Oficina,Venta,Tarragona,1891932,2004-10-02,María
165,161,2004-03-04,Suelo,Venta,Tarragona,1305480,2004-07-29,Jesús
