Superficie,Referencia,Fecha Alta,Tipo,Operación,Provincia,Precio Venta,Fecha Venta,Vendedor
291,1,2004-01-01,Parking,Alquiler,Lleida,2133903,2004-06-19,Carmen
199,2,2004-01-01,Local,Venta,Girona,1945424,2004-04-19,Pedro
82,3,2004-01-01,Oficina,Alquiler,Girona,712416,2004-11-08,Joaquín
285,4,2004-01-02,Parking,Alquiler,Girona,1815450,2004-04-27,Jesús
131,6,2004-01-03,Industrial,Alquiler,Girona,953156,2004-09-05,Pedro
235,8,2004-01-03,Oficina,Venta,Girona,2158475,2004-10-31,Jesús
299,10,2004-01-04,Parking,Venta,Lleida,2042768,2004-10-06,Joaquín
124,11,2004-01-04,Oficina,Alquiler,Girona,627068,2004-10-28,Pedro
187,12,2004-01-04,Industrial,Venta,Girona,999328,2004-04-05,Carmen
300,13,2004-01-04,Parking,Venta,Barcelona,2937300,2004-11-04,Jesús
176,15,2004-01-04,Industrial,Alquiler,Girona,820336,2004-11-29,Pedro
179,16,2004-01-05,Casa,Alquiler,Girona,937960,2004-11-21,Carmen
283,18,2004-01-06,Suelo,Venta,Barcelona,1679605,2004-06-06,Carmen
55,19,2004-01-07,Piso,Alquiler,Girona,472615,2004-04-09,Luisa
228,21,2004-01-09,Industrial,Venta,Barcelona,2020992,2004-06-12,Carmen
183,23,2004-01-10,Casa,Alquiler,Girona,1438929,2004-04-21,Luisa
187,28,2004-01-12,Casa,Alquiler,Barcelona,1660560,2004-06-16,Joaquín
92,32,2004-01-13,Casa,Alquiler,Girona,627348,2004-04-12,María
181,33,2004-01-15,Local,Alquiler,Barcelona,1504110,2004-07-03,María
281,34,2004-01-15,Casa,Venta,Barcelona,2483197,2004-11-01,María
257,35,2004-01-15,Industrial,Alquiler,Tarragona,1799771,2004-12-31,Luisa
229,37,2004-01-16,Local,Venta,Girona,1160572,2004-07-09,Pedro
182,40,2004-01-18,Oficina,Venta,Girona,1057784,2004-07-22,Jesús
74,43,2004-01-19,Oficina,Alquiler,Girona,579716,2004-09-22,María
278,44,2004-01-19,Casa,Venta,Girona,1537062,2004-12-16,María
287,45,2004-01-20,Oficina,Alquiler,Barcelona,2851058,2005-01-02,Joaquín
40,49,2004-01-20,Local,Venta,Girona,321680,2005-01-11,Jesús
206,52,2004-01-22,Local,Alquiler,Lleida,1605564,2004-09-26,María
127,55,2004-01-22,Local,Venta,Girona,983234,2004-07-09,Carmen
274,58,2004-01-24,Local,Alquiler,Girona,2287626,2004-12-21,María
270,60,2004-01-24,Oficina,Alquiler,Lleida,1920240,2004-06-28,Jesús
272,66,2004-01-27,Suelo,Venta,Lleida,2119424,2004-12-24,Pedro
248,69,2004-01-27,Local,Venta,Girona,2212408,2004-10-09,María
179,70,2004-01-28,Casa,Alquiler,Tarragona,1647695,2004-07-12,María
235,71,2004-01-28,Casa,Venta,Girona,1939925,2004-11-01,Carmen
229,74,2004-01-29,Industrial,Venta,Girona,1098055,2004-10-22,Joaquín
234,76,2004-01-29,Suelo,Alquiler,Tarragona,1757106,2004-12-28,Pedro
298,79,2004-01-31,Parking,Venta,Barcelona,2520484,2004-11-27,Carmen
236,81,2004-02-01,Industrial,Alquiler,Barcelona,1812244,2004-11-17,Pedro
117,82,2004-02-02,Parking,Venta,Girona,1069731,2004-09-14,Pedro
275,86,2004-02-03,Piso,Venta,Girona,2141700,2005-01-08,Jesús
292,90,2004-02-04,Suelo,Venta,Girona,2685816,2004-07-24,Pedro
251,99,2004-02-07,Industrial,Alquiler,Girona,2067236,2004-12-22,María
162,101,2004-02-08,Suelo,Alquiler,Girona,710694,2004-09-27,María
258,103,2004-02-08,Casa,Alquiler,Girona,1188090,2004-07-19,María
238,105,2004-02-10,Piso,Alquiler,Girona,1854496,2005-02-02,Luisa
300,106,2004-02-10,Piso,Alquiler,Lleida,2105700,2005-01-26,Pedro
222,107,2004-02-10,Suelo,Alquiler,Girona,1791318,2004-12-13,Jesús
187,108,2004-02-12,Suelo,Alquiler,Tarragona,1782297,2004-12-20,Joaquín
300,109,2004-02-12,Suelo,Alquiler,Barcelona,1528200,2004-08-09,Pedro
206,110,2004-02-12,Parking,Venta,Barcelona,1587642,2004-12-20,Luisa
103,114,2004-02-14,Suelo,Venta,Girona,806799,2005-01-11,Joaquín
103,116,2004-02-15,Parking,Venta,Girona,973659,2005-01-04,Jesús
274,117,2004-02-15,Oficina,Venta,Girona,1724008,2004-09-26,Joaquín
253,118,2004-02-15,Oficina,Venta,Girona,2047276,2004-09-10,Luisa
179,123,2004-02-17,Local,Alquiler,Girona,1461356,2004-07-30,Pedro
118,125,2004-02-19,Industrial,Venta,Girona,1067192,2004-08-25,Carmen
275,134,2004-02-22,Oficina,Alquiler,Tarragona,1765225,2005-02-20,Joaquín
88,138,2004-02-24,Industrial,Venta,Girona,678480,2004-12-28,Luisa
50,145,2004-02-28,Piso,Venta,Girona,315550,2004-10-14,Pedro
274,146,2004-02-28,Parking,Venta,Girona,2028970,2004-08-20,Luisa
212,150,2004-03-01,Casa,Alquiler,Lleida,1800516,2004-12-19,Jesús
185,155,2004-03-03,Suelo,Alquiler,Girona,1403595,2004-10-02,Pedro
284,156,2004-03-03,Casa,Venta,Girona,1561432,2004-07-01,Pedro
202,157,2004-03-03,Oficina,Venta,Tarragona,1891932,2004-10-02,María
287,164,2004-03-05,Oficina,Alquiler,Girona,1395681,2004-09-13,Carmen
250,166,2004-03-06,Oficina,Venta,Tarragona,2275500,2004-07-29,Luisa
169,167,2004-03-06,Parking,Venta,Girona,1370759,2005-01-14,Luisa
221,168,2004-03-06,Suelo,Venta,Lleida,1842035,2004-10-15,Joaquín
286,169,2004-03-07,Industrial,Alquiler,Barcelona,2080078,2004-07-14,Jesús
144,171,2004-03-08,Suelo,Venta,Girona,1358640,2004-11-13,Joaquín
268,173,2004-03-09,Oficina,Venta,Girona,2400476,2005-03-08,Joaquín
193,176,2004-03-10,Industrial,Alquiler,Lleida,1658835,2004-08-30,Jesús
201,180,2004-03-12,Suelo,Alquiler,Tarragona,1874928,2004-06-21,Jesús
231,183,2004-03-14,Local,Alquiler,Girona,1446522,2004-09-02,Carmen
265,185,2004-03-15,Industrial,Venta,Barcelona,2109930,2004-08-27,María
87,186,2004-03-16,Casa,Alquiler,Girona,779868,2004-10-23,Jesús
160,189,2004-03-17,Parking,Venta,Girona,1261600,2004-10-25,Jesús
56,192,2004-03-18,Local,Venta,Girona,553616,2005-03-09,Pedro
117,194,2004-03-19,Local,Alquiler,Girona,986895,2004-09-14,Pedro
62,195,2004-03-19,Piso,Venta,Girona,250852,2004-07-21,Carmen
174,198,2004-03-21,Oficina,Alquiler,Girona,720882,2004-08-14,Pedro
281,200,2004-03-22,Parking,Venta,Tarragona,2108343,2004-09-26,Pedro
247,201,2004-03-22,Parking,Venta,Girona,1050985,2004-11-09,Pedro
52,202,2004-03-22,Piso,Alquiler,Girona,298272,2004-08-13,María
169,203,2004-03-22,Local,Alquiler,Girona,902798,2004-07-16,Luisa
274,205,2004-03-23,Local,Venta,Girona,2002392,2004-12-04,Luisa
